Relative Compactness,Surface Area,Wall Area,Roof Area,Overall Height,Orientation,Glazing Area,Glazing Area Distribution,Heating Load
0.62,808.5,367.5,220.5,3.5,3,0.1,5,12.74
0.9,563.5,318.5,122.5,7.0,3,0.1,2,29.68
0.9,563.5,318.5,122.5,7.0,3,0.4,2,36.57
0.79,637.0,343.0,147.0,7.0,2,0.25,2,38.57
0.9,563.5,318.5,122.5,7.0,4,0.4,5,34.72
0.64,784.0,343.0,220.5,3.5,2,0.25,4,16.99
0.64,784.0,343.0,220.5,3.5,3,0.1,4,15.19
0.98,514.5,294.0,110.25,7.0,3,0.25,3,28.56
0.71,710.5,269.5,220.5,3.5,2,0.4,1,14.51
0.86,588.0,294.0,147.0,7.0,5,0.1,1,25.27
0.66,759.5,318.5,220.5,3.5,2,0.4,5,14.96
0.9,563.5,318.5,122.5,7.0,3,0.25,2,33.27
0.82,612.5,318.5,147.0,7.0,3,0.25,4,24.96
0.66,759.5,318.5,220.5,3.5,4,0.4,2,15.09
0.69,735.0,294.0,220.5,3.5,5,0.25,2,12.95
0.79,637.0,343.0,147.0,7.0,5,0.25,2,38.98
0.79,637.0,343.0,147.0,7.0,5,0.0,0,28.75
0.66,759.5,318.5,220.5,3.5,5,0.4,4,15.3
0.62,808.5,367.5,220.5,3.5,4,0.25,3,13.95
0.76,661.5,416.5,122.5,7.0,3,0.1,2,32.4
0.82,612.5,318.5,147.0,7.0,3,0.25,5,25.17
0.74,686.0,245.0,220.5,3.5,4,0.1,4,10.07
0.82,612.5,318.5,147.0,7.0,5,0.1,3,23.87
0.64,784.0,343.0,220.5,3.5,5,0.4,3,18.46
0.74,686.0,245.0,220.5,3.5,3,0.4,1,14.61
0.9,563.5,318.5,122.5,7.0,2,0.4,3,34.24
0.62,808.5,367.5,220.5,3.5,2,0.4,2,16.76
0.62,808.5,367.5,220.5,3.5,4,0.1,4,13.0
0.79,637.0,343.0,147.0,7.0,2,0.4,3,41.26
0.71,710.5,269.5,220.5,3.5,4,0.4,5,12.76
0.98,514.5,294.0,110.25,7.0,3,0.4,2,32.71
0.9,563.5,318.5,122.5,7.0,3,0.4,1,37.24
0.66,759.5,318.5,220.5,3.5,4,0.1,2,11.33
0.69,735.0,294.0,220.5,3.5,3,0.4,5,14.28
0.86,588.0,294.0,147.0,7.0,4,0.1,4,26.33
0.79,637.0,343.0,147.0,7.0,3,0.4,4,41.73
0.64,784.0,343.0,220.5,3.5,2,0.4,5,17.69
0.66,759.5,318.5,220.5,3.5,3,0.1,1,11.69
0.79,637.0,343.0,147.0,7.0,5,0.25,3,39.83
0.71,710.5,269.5,220.5,3.5,4,0.4,1,14.5
0.76,661.5,416.5,122.5,7.0,5,0.25,1,36.43
0.66,759.5,318.5,220.5,3.5,3,0.1,5,11.34
0.62,808.5,367.5,220.5,3.5,5,0.0,0,8.5
0.64,784.0,343.0,220.5,3.5,5,0.1,3,15.36
0.69,735.0,294.0,220.5,3.5,2,0.1,4,11.18
0.64,784.0,343.0,220.5,3.5,4,0.1,1,15.42
0.86,588.0,294.0,147.0,7.0,2,0.0,0,19.5
0.82,612.5,318.5,147.0,7.0,5,0.25,3,25.17
0.9,563.5,318.5,122.5,7.0,5,0.4,4,36.57
0.79,637.0,343.0,147.0,7.0,2,0.25,3,39.04
0.69,735.0,294.0,220.5,3.5,3,0.1,1,11.13
0.9,563.5,318.5,122.5,7.0,3,0.25,3,32.4
0.71,710.5,269.5,220.5,3.5,5,0.1,3,10.7
0.62,808.5,367.5,220.5,3.5,4,0.25,1,15.08
0.82,612.5,318.5,147.0,7.0,4,0.4,2,28.64
0.82,612.5,318.5,147.0,7.0,3,0.4,3,29.67
0.9,563.5,318.5,122.5,7.0,5,0.4,1,35.96
0.86,588.0,294.0,147.0,7.0,5,0.25,1,28.66
0.74,686.0,245.0,220.5,3.5,5,0.25,4,12.43
0.66,759.5,318.5,220.5,3.5,5,0.4,1,15.23
0.62,808.5,367.5,220.5,3.5,4,0.1,5,12.8
0.82,612.5,318.5,147.0,7.0,2,0.1,1,23.53
0.82,612.5,318.5,147.0,7.0,5,0.1,2,22.79
0.82,612.5,318.5,147.0,7.0,5,0.4,2,28.01
0.79,637.0,343.0,147.0,7.0,2,0.0,0,28.52
0.76,661.5,416.5,122.5,7.0,4,0.4,5,39.31
0.82,612.5,318.5,147.0,7.0,3,0.25,2,25.98
0.66,759.5,318.5,220.5,3.5,3,0.4,5,14.92
0.9,563.5,318.5,122.5,7.0,2,0.25,4,32.67
0.66,759.5,318.5,220.5,3.5,2,0.25,5,12.93
0.86,588.0,294.0,147.0,7.0,2,0.1,1,26.28
0.62,808.5,367.5,220.5,3.5,5,0.25,1,15.16
